last,city,state,zip,s/o,candidate,race,committee,date,amount,sector,cycle
Service Employees International Union United Service Workers West (SEIU USWW) Candidate PAC,Los Angeles,CA,90015,S,Garcetti,Mayor,Garcetti for Mayor 2013 - General,04/19/13,2400,Union,Runoff
Service Employees International Union United Service Workers West (SEIU USWW) Candidate PAC,Los Angeles,CA,90015,O,Garcetti,Mayor,Wendy Greuel for Mayor 2013 - General,05/03/13,4943,Union,Runoff
Service Employees International Union United Service Workers West (SEIU USWW) Candidate PAC,Los Angeles,CA,90015,O,Garcetti,Mayor,Wendy Greuel for Mayor 2013 - General,05/06/13,1004,Union,Runoff
Sierra Club,San Francisco,CA,94105,S,Garcetti,Mayor,Garcetti for Mayor 2013 - General,05/08/13,50,Foundations,Runoff
Sierra Club,San Francisco,CA,94105,S,Garcetti,Mayor,Garcetti for Mayor 2013 - General,05/08/13,134,Foundations,Runoff
Sierra Club,San Francisco,CA,94105,S,Garcetti,Mayor,Garcetti for Mayor 2013 - General,05/08/13,28,Foundations,Runoff
Southwest Regional Council of Carpenters PAF,Los Angeles,CA,90071,S,Greuel,Mayor,Wendy Greuel for Mayor 2013,02/15/13,147,Union,Primary
Southwest Regional Council of Carpenters PAF,Los Angeles,CA,90071,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/03/13,1094,Union,Runoff
United Firefighters Of Los Angeles City Local Union #112,Los Angeles,CA,90026,S,Greuel,Mayor,Wendy Greuel for Mayor 2013,02/23/13,50000,Union,Primary
United Firefighters Of Los Angeles City Local Union #112,Los Angeles,CA,90026,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/13/13,327,Union,Runoff
United Firefighters Of Los Angeles City Local Union #112,Los Angeles,CA,90026,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/13/13,1259,Union,Runoff
Women Leadership Needed in Los Angeles,Winnetka,CA,91306,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/13/13,2982,Other,Runoff
Women Leadership Needed in Los Angeles,Winnetka,CA,91306,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/13/13,1100,Other,Runoff
LA Jobs PAC Sponsored by the Los Angeles Area Chamber of Commerce,Los Angeles,CA,90017,O,Greuel,Mayor,Garcetti for Mayor 2013 - General,05/16/13,6064,Foundations,Runoff
California Teamsters Public Affairs Council Public Affairs,Los Angeles,CA,95814,S,Garcetti,Mayor,Garcetti for Mayor 2013 - General,05/16/13,200,Union,Runoff
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/16/13,600,Union,Runoff
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/16/13,100,Union,Runoff
Coalition for Better Schools and Communities Sponsored by the Los Angeles County Federation of Labor AFL-CIO,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/16/13,30483,Union,Runoff
Coalition for Better Schools and Communities Sponsored by the Los Angeles County Federation of Labor AFL-CIO,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/16/13,300,Union,Runoff
Coalition for Better Schools and Communities Sponsored by the Los Angeles County Federation of Labor AFL-CIO,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/16/13,17335,Union,Runoff
"Committee to Elect Curren Price for City Council 2013, Sponsored by Service Employees International Union United Long Term Care Workers",Los Angeles,CA,90057,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/16/13,13727,Other,Runoff
LA Jobs PAC Sponsored by the Los Angeles Area Chamber of Commerce,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/16/13,6064,Foundations,Runoff
Coalition for Better Schools and Communities Sponsored by the Los Angeles County Federation of Labor AFL-CIO,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/18/13,1880,Union,Runoff
Coalition for Better Schools and Communities Sponsored by the Los Angeles County Federation of Labor AFL-CIO,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/18/13,1880,Union,Runoff
Coalition for Better Schools and Communities Sponsored by the Los Angeles County Federation of Labor AFL-CIO,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/18/13,4704,Union,Runoff
Coalition for Better Schools and Communities Sponsored by the Los Angeles County Federation of Labor AFL-CIO,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/18/13,197,Union,Runoff
Coalition for Better Schools and Communities Sponsored by the Los Angeles County Federation of Labor AFL-CIO,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/18/13,1968,Union,Runoff
Sierra Club,San Francisco,CA,94105,S,Garcetti,Mayor,Garcetti for Mayor 2013 - General,05/17/13,57,Foundations,Runoff
Sierra Club,San Francisco,CA,94105,S,Garcetti,Mayor,Garcetti for Mayor 2013 - General,05/17/13,28,Foundations,Runoff
Sierra Club,San Francisco,CA,94105,S,Garcetti,Mayor,Garcetti for Mayor 2013 - General,05/17/13,70,Foundations,Runoff
Sierra Club,San Francisco,CA,94105,S,Garcetti,Mayor,Garcetti for Mayor 2013 - General,05/17/13,26,Foundations,Runoff
